;Mg;Al;Si;Sc;Ti;V;Cr;Mn;Fe;Co;Ni;Cu;Zn;Ga;Ge;As;Y;Zr;Nb;Mo;Ru;Rh;Pd;Ag;Cd;In;Sn;Sb;Te;Hf;Ta;W;Re;Ir;Pt;Au;Hg;Pb;Bi;Sm;Ce;La
Mg;1.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Al;;1.00;;;;0.12;;;;;;;;0.99;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Si;;;1.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sc;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ti;;;;0.2;1.00;;;;;;;;;;;;;1.00;;;;;;;;;;;;1.00;;;;;;;;;;0.01;0.03;0.02
V;;;;;;0.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cr;;;;;;;0.98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mn;;;;;;;;0.97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fe;;;;0.2;;0.63;;0.03;1.00;;;;;;;;0.03;;;;;;;;;;;;;;;;;;;;;;;0.24;0.67;0.5
Co;;;;0.2;;;;;;0.15;;;;;;0.153;;;;;;;;;;;;;;;;;;;;;;;;;;
Ni;;;;0.2;;;;;;0.5;0.98;0.05;;;;;;;;;0.05;0.15;0.53;;;;;;;;;;;0.05;0.16;;;;;;;
Cu;;;;;;;;;;0.35;;0.91;0.04;;;0.153;;;;0.46;;;;0.235;;0.05;0.005;;0.9;;;;0.29;;;0.12;0.02;0.05;0.09;;;
Zn;;;;;;;;;;;;0.01;0.9;0.01;0.6;0.153;;;;;;;;0.185;1.00;0.8;0.02;;;;;;;;;0.01;0.02;0.05;;;;
Ga;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ge;;;;;;;;;;;;;;;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;
As;;;;;;;;;;;;;;;;0.082;;;;;;;;;;;;;;;;;;;;;;;;;;
Y;;;;;;;;;;;;;;;;;0.7;;;;;;;;;;;;;;;;;;;;;;;0.22;0.02;0.06
Zr;;;;0.2;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;
Nb;;;;;;;;;;;;;;;;;;;0.98;;;;;;;;;;;;0.13;;;;;;;;;;;
Mo;;;;;;;;;;;;;;;;;;;;0.54;;;;;;;;;;;;;0.71;;;;;;0.045;;;
Ru;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;
Rh;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;
Pd;;;;;;;;;;;;;;;;;;;;;;;0.03;;;;;;;;;;;;;;;;;;;
Ag;;;;;;;;;;;;0.01;0.03;;;;;;;;;;;0.296;;;;0.16;;;;;;;;0.005;0.02;;;;;
Cd;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;
In;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;
Sn;;;;;;;;;;;;;;;;0.153;;;0.01;;;;;;;0.15;0.97;0.08;;;0.15;0.05;;;;;;;0.09;;;0.01
Sb;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2;;;;;;;;;;;;;;
Te;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;
Hf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;
Ta;;;;;;;;;;;;;;;;;;;0.01;;;;;;;;0.005;;;;0.72;;;;;;;;;;;
W;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.12;;;;0.95;;;;;;;0.135;;;
Re;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;
Ir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;
Pt;;;;;;;0.02;;;;0.02;0.01;;;;;;;;;0.95;0.85;0.44;;;;;;;;;;;0.95;0.84;0.005;;;;;;
Au;;;;;;;;;;;;;0.02;;;0.15;;;;;;;;0.104;;;;0.04;;;;;;;;0.86;0.02;;;;;
Hg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.9;;;;;
Pb;;;;;;;;;;;;0.01;0.01;;;0.153;;;;;;;;0.18;;;;0.4;0.05;;;;;;;;0.02;0.9;0.54;;;
Bi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.05;;;;;;;;;;0.1;;;
Sm;;;;;;;;;;;;;;;;;0.13;;;;;;;;;;;;;;;;;;;;;;;0.18;0.01;0.07
Ce;;;;;;;;;;;;;;;;;0.09;;;;;;;;;;;;;;;;;;;;;;;0.23;0.27;0.27
La;;;;;;;;;;;;;;;;;0.05;;;;;;;;;;;;;;;;;;;;;;;0.12;;0.07
